Circuit delay: 868.304 ps

Gate slacks:
INPUT-1: 870.323 ps
INPUT-5: 888.871 ps
INPUT-9: 170.638 ps
INPUT-12: 170.638 ps
INPUT-15: 905.62 ps
INPUT-18: 86.8304 ps
INPUT-23: 253.246 ps
INPUT-26: 200.631 ps
INPUT-29: 210.106 ps
INPUT-32: 299.443 ps
INPUT-35: 320.791 ps
INPUT-38: 398.421 ps
INPUT-41: 211.322 ps
INPUT-44: 528.879 ps
INPUT-47: 306.389 ps
INPUT-50: 311.83 ps
INPUT-53: 506.611 ps
INPUT-54: 487.127 ps
INPUT-55: 483.269 ps
INPUT-56: 479.414 ps
INPUT-57: 920.502 ps
INPUT-58: 528.878 ps
INPUT-59: 445.96 ps
INPUT-60: 491.926 ps
INPUT-61: 488.085 ps
INPUT-62: 484.247 ps
INPUT-63: 497.122 ps
INPUT-64: 472.61 ps
INPUT-65: 489.802 ps
INPUT-66: 355.725 ps
INPUT-69: 529.147 ps
INPUT-70: 477.321 ps
INPUT-73: 420.608 ps
INPUT-74: 433.408 ps
INPUT-75: 424.911 ps
INPUT-76: 429.158 ps
INPUT-77: 485.473 ps
INPUT-78: 450.21 ps
INPUT-79: 495.917 ps
INPUT-80: 437.41 ps
INPUT-81: 441.713 ps
INPUT-82: 528.882 ps
INPUT-83: 485.411 ps
INPUT-84: 481.161 ps
INPUT-85: 476.913 ps
INPUT-86: 493.121 ps
INPUT-87: 504.05 ps
INPUT-88: 489.473 ps
INPUT-89: 736.909 ps
INPUT-94: 200.631 ps
INPUT-97: 210.106 ps
INPUT-100: 338.815 ps
INPUT-103: 289.743 ps
INPUT-106: 216.452 ps
INPUT-109: 489.27 ps
INPUT-110: 485.422 ps
INPUT-111: 504.05 ps
INPUT-112: 489.473 ps
INPUT-113: 504.05 ps
INPUT-114: 528.882 ps
INPUT-115: 528.873 ps
INPUT-118: 238.653 ps
INPUT-121: 253.246 ps
INPUT-124: 311.83 ps
INPUT-127: 299.443 ps
INPUT-130: 320.791 ps
INPUT-133: 869.542 ps
INPUT-134: 869.542 ps
INPUT-135: 253.25 ps
INPUT-138: 210.11 ps
INPUT-141: 528.877 ps
INPUT-144: 200.635 ps
INPUT-147: 238.656 ps
INPUT-150: 791.358 ps
INPUT-151: 238.652 ps
INPUT-152: 791.358 ps
INPUT-153: 327.948 ps
INPUT-154: 284.045 ps
INPUT-155: 271.659 ps
INPUT-156: 292.985 ps
INPUT-157: 308.487 ps
INPUT-158: 253.246 ps
INPUT-159: 200.631 ps
INPUT-160: 210.106 ps
INPUT-161: 528.873 ps
INPUT-162: 791.358 ps
INPUT-163: 914.005 ps
INPUT-164: 607.245 ps
INPUT-165: 607.245 ps
INPUT-166: 461.948 ps
INPUT-167: 461.942 ps
INPUT-168: 476.519 ps
INPUT-169: 476.519 ps
INPUT-170: 490.236 ps
INPUT-171: 489.798 ps
INPUT-172: 791.358 ps
INPUT-173: 457.892 ps
INPUT-174: 461.74 ps
INPUT-175: 465.591 ps
INPUT-176: 469.593 ps
INPUT-177: 445.08 ps
INPUT-178: 476.91 ps
INPUT-179: 481.157 ps
INPUT-180: 485.407 ps
INPUT-181: 528.878 ps
INPUT-182: 791.358 ps
INPUT-183: 791.358 ps
INPUT-184: 791.358 ps
INPUT-185: 791.358 ps
INPUT-186: 791.358 ps
INPUT-187: 485.477 ps
INPUT-188: 791.358 ps
INPUT-189: 483.98 ps
INPUT-190: 487.82 ps
INPUT-191: 491.663 ps
INPUT-192: 495.681 ps
INPUT-193: 437.145 ps
INPUT-194: 441.717 ps
INPUT-195: 445.964 ps
INPUT-196: 450.214 ps
INPUT-197: 528.882 ps
INPUT-198: 446.495 ps
INPUT-199: 791.358 ps
INPUT-200: 479.418 ps
INPUT-201: 483.273 ps
INPUT-202: 487.13 ps
INPUT-203: 506.614 ps
INPUT-204: 420.611 ps
INPUT-205: 424.644 ps
INPUT-206: 428.893 ps
INPUT-207: 433.145 ps
INPUT-208: 528.883 ps
INPUT-209: 210.938 ps
INPUT-210: 791.358 ps
INPUT-211: 607.245 ps
INPUT-212: 607.245 ps
INPUT-213: 401.832 ps
INPUT-214: 225.468 ps
INPUT-215: 172.852 ps
INPUT-216: 182.328 ps
INPUT-217: 238.656 ps
INPUT-218: 791.358 ps
INPUT-219: 355.729 ps
INPUT-220: 311.833 ps
INPUT-221: 299.447 ps
INPUT-222: 320.795 ps
INPUT-223: 306.393 ps
INPUT-224: 253.25 ps
INPUT-225: 200.635 ps
INPUT-226: 210.11 ps
INPUT-227: 528.877 ps
INPUT-228: 791.358 ps
INPUT-229: 211.325 ps
INPUT-230: 791.358 ps
INPUT-231: 338.819 ps
INPUT-232: 311.833 ps
INPUT-233: 299.447 ps
INPUT-234: 320.795 ps
INPUT-235: 289.747 ps
INPUT-236: 253.25 ps
INPUT-237: 200.635 ps
INPUT-238: 210.11 ps
INPUT-239: 528.883 ps
INPUT-240: 791.358 ps
INPUT-241: 955.134 ps
INPUT-242: 931.507 ps
INPUT-245: 584.887 ps
INPUT-248: 520.604 ps
INPUT-251: 276.543 ps
INPUT-254: 248.079 ps
INPUT-257: 291.219 ps
INPUT-260: 467.574 ps
INPUT-263: 425.699 ps
INPUT-267: 427.952 ps
INPUT-271: 607.404 ps
INPUT-274: 520.604 ps
INPUT-277: 276.545 ps
INPUT-280: 248.08 ps
INPUT-283: 238.605 ps
INPUT-286: 291.22 ps
INPUT-289: 377.285 ps
INPUT-293: 358.667 ps
INPUT-296: 337.408 ps
INPUT-299: 352.848 ps
INPUT-303: 396.746 ps
INPUT-307: 520.877 ps
INPUT-310: 230.915 ps
INPUT-313: 248.08 ps
INPUT-316: 238.605 ps
INPUT-319: 291.22 ps
INPUT-322: 327.711 ps
INPUT-325: 358.675 ps
INPUT-328: 337.415 ps
INPUT-331: 349.802 ps
INPUT-334: 376.783 ps
INPUT-337: 520.608 ps
INPUT-340: 276.545 ps
INPUT-343: 248.08 ps
INPUT-346: 238.605 ps
INPUT-349: 291.22 ps
INPUT-352: 344.357 ps
INPUT-355: 358.675 ps
INPUT-358: 337.415 ps
INPUT-361: 349.802 ps
INPUT-364: 393.693 ps
INPUT-367: 599.049 ps
INPUT-382: 425.699 ps
OUTPUT-241: 955.134 ps
OUTPUT-387: 923.337 ps
OUTPUT-388: 923.337 ps
OUTPUT-478: 923.337 ps
OUTPUT-482: 923.337 ps
OUTPUT-484: 923.337 ps
OUTPUT-486: 923.337 ps
OUTPUT-489: 923.337 ps
OUTPUT-492: 923.337 ps
OUTPUT-501: 923.337 ps
OUTPUT-505: 923.337 ps
OUTPUT-507: 923.337 ps
OUTPUT-509: 923.337 ps
OUTPUT-511: 923.337 ps
OUTPUT-513: 923.337 ps
OUTPUT-515: 923.337 ps
OUTPUT-517: 923.337 ps
OUTPUT-519: 923.337 ps
OUTPUT-535: 923.337 ps
OUTPUT-537: 923.337 ps
OUTPUT-539: 923.337 ps
OUTPUT-541: 923.337 ps
OUTPUT-543: 923.337 ps
OUTPUT-545: 923.337 ps
OUTPUT-547: 923.337 ps
OUTPUT-549: 923.337 ps
